ncit	disease	search
C3878	Thyroid gland undifferentiated (anaplastic) carcinoma	thyroid
C4648	Tongue squamous cell carcinoma	tongue
C3417	Tonsillar neoplasm	tonsillar
C8183	Tonsillar squamous cell carcinoma	tonsillar
C71732	Triple-negative breast carcinoma	breast
Orphanet_423786	Undifferentiated carcinoma of stomach	stomach
C9167	Undifferentiated gallbladder carcinoma	gallbladder
C5476	Undifferentiated gastric carcinoma	gastric
C96792	Undifferentiated liver carcinoma	liver
C4509	Undifferentiated ovarian carcinoma	ovarian
C5722	Undifferentiated pancreatic carcinoma	pancreatic
C4247	Undifferentiated pleomorphic sarcoma	sarcoma
Orphanet_2023	Undifferentiated pleomorphic sarcoma	sarcoma
C8173	Upper gingival squamous cell carcinoma	gingival
C8993	Ureter carcinoma	ureter
C6166	Urethral urothelial carcinoma	urethral
C42700	Uterine carcinosarcoma	uterine
C6340	Uterine corpus leiomyosarcoma	uterine
C6339	Uterine corpus sarcoma	uterine
C7712	Uveal melanoma	uveal
Orphanet_39044	Uveal melanoma	uveal
C27394	Vaginal melanoma	vaginal
C7736	"Vaginal squamous cell carcinoma, not otherwise specified"	vaginal
C26749	VIP-producing neuroendocrine tumor	vip
Orphanet_97282	VIPoma	vip
Orphanet_892	Von Hippel-Lindau disease	von hippel-lindau
C3105	Von Hippel-Lindau syndrome	von hippel-lindau
C4866	Vulvar carcinoma	vulvar
C40318	Vulvar leiomyosarcoma	vulvar
C27723	Vulvar lichen sclerosus	vulvar
C40329	Vulvar melanoma	vulvar
C4052	Vulvar squamous cell carcinoma	vulvar
Orphanet_494448	Vulvar squamous cell carcinoma	vulvar
Orphanet_33226	Waldenstrom macroglobulinemia	waldenstrom
C4250	Well differentiated liposarcoma	liposarcoma
Orphanet_99971	Well-differentiated liposarcoma	liposarcoma
